Statement,URL,Category
“No candidate has ever won both Florida and Ohio and lost.”,https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-said-no-candidate-has-won-florida-and-ohio-a/,0.0
“Voting machines found in bus in Arizona.”,https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/no-voting-machines-were-not-found-arizona-bus/,1.0
"You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.",https://www.politifact.com/factchecks/2020/dec/10/laura-ingraham/ingraham-wrongly-claims-no-science-suggests-restau/,1.0
Says Texas Rep. Terry Meza said changing the castle doctrine is meant to create a “peaceful” transfer of property from victims to thieves,https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/comments-about-texas-castle-doctrine-law-were-sati/,0.0
"“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”",https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/fact-checking-facebook-post-comparing-covid-19-vac/,2.0
"“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”",https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-wrong-multiple-ways-wisconsin-absentee-ballo/,0.0
“Head of Pfizer research: Covid vaccine is female sterilization.”,https://www.politifact.com/factchecks/2020/dec/10/blog-posting/no-pfizers-head-research-didnt-say-covid-19-vaccin/,1.0
"The probability of Biden winning in Wisconsin, Georgia, Michigan and Pennsylvania “given President Trump’s early lead ... is less than one in a quadrillion” in each state.",https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/texas-lawsuit-statistics-fraud-wisconsin-michigan/,0.0
Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.,https://www.politifact.com/factchecks/2020/dec/09/facebook-posts/conspiracy-theory-targets-first-recipient-uk-covid/,1.0
The Supreme Court “has decided to take up the Texas case.”,https://www.politifact.com/factchecks/2020/dec/09/facebook-posts/no-supreme-court-hasnt-taken-texas-election-case-y/,1.0
"A forensics examination of a Ware County, Ga., Dominion Voting Systems machine found votes were switched from Donald Trump to Joe Biden.",https://www.politifact.com/factchecks/2020/dec/09/jody-hice/dominion-voting-machines-didnt-switch-37-votes-bid/,1.0
"The FDA knows that rushed-to-market COVID-19 vaccines may cause a wide range of life-threatening side effects, including death.",https://www.politifact.com/factchecks/2020/dec/09/blog-posting/alternative-health-website-spreads-false-claim-abo/,2.0
"Says Kelly Loeffler “welcomed the support of a QAnon conspiracy theorist, and she sat down with a white supremacist for an interview.”",https://www.politifact.com/factchecks/2020/dec/09/raphael-warnock/fact-checking-claim-ties-sen-kelly-loeffler-qanon-/,3.0
"In Chesterfield (Va.), the Southside precinct is infamous for having over 100% of the vote count…”",https://www.politifact.com/factchecks/2020/dec/09/amanda-chase/amanda-chase-makes-bogus-claim-voting-fraud-virgin/,0.0
"“Actually, I won Wisconsin.”",https://www.politifact.com/factchecks/2020/dec/09/donald-trump/recount-finds-trump-did-not-win-wisconsin-despite-/,0.0
People in Germany saw this electoral map that shows Trump beating Biden with 410 electoral votes before Dominion’s servers were seized.,https://www.politifact.com/factchecks/2020/dec/08/facebook-posts/map-showing-trump-winning-election-410-electoral-v/,0.0
“The president got the highest percentage of minority votes of any Republican candidate for president in over 100 years.,https://www.politifact.com/factchecks/2020/dec/08/roy-blunt/blunts-wrong-trump-did-not-get-highest-minority-vo/,1.0
The National Institutes of Health “states that regular marijuana use can reduce IQ by 8 points.”,https://www.politifact.com/factchecks/2020/dec/08/david-rouzer/nc-congressman-wrong-about-marijuana-reducing-iq/,2.0
Says Joe Biden killed a Kelly Loeffler campaign staffer.,https://www.politifact.com/factchecks/2020/dec/08/facebook-posts/police-say-loeffler-aide-died-traffic-collision/,1.0
"People have lost faith in the ability of the vaccine to work. Already, the numbers are really staggeringly low.",https://www.politifact.com/factchecks/2020/dec/08/joe-biden/many-americans-say-they-dont-want-vaccine-should-w/,3.0
"“The first randomized controlled trial of more than 6,000 individuals to assess the effectiveness of surgical face masks against SARS-CoV-2 infection found masks did not statistically significantly reduce the incidence of infection.",https://www.politifact.com/factchecks/2020/dec/07/viral-image/no-danish-study-didnt-prove-wearing-masks-ineffect/,2.0
Says Kelly Loeffler was wearing a wire during the Georgia Senate debate.,https://www.politifact.com/factchecks/2020/dec/07/viral-image/no-loeffler-wasnt-wearing-wire-during-senate-debat/,0.0
Photo shows Kelly Loeffler’s house.,https://www.politifact.com/factchecks/2020/dec/07/viral-image/no-isnt-photo-kelly-loefflers-house/,1.0
“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,https://www.politifact.com/factchecks/2020/dec/07/donald-trump/do-states-verify-citizenship-voters-federal-electi/,2.0
“CDC admits old ‘science’ was wrong” on COVID-19 quarantine guidance.,https://www.politifact.com/factchecks/2020/dec/07/duey-stroebel/wisconsin-sen-stroebel-misfires-claim-cdc-admits-o/,1.0
"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",https://www.politifact.com/factchecks/2020/dec/06/jb-pritzker/yes-conservatives-did-share-false-post-about-pritz/,5.0
"Says George Patton said, “Politicians are the lowest form of life on earth. Liberal Democrats are the lower form of politicians.”",https://www.politifact.com/factchecks/2020/dec/04/viral-image/no-evidence-patton-said-about-liberal-democrats/,1.0
"In 10 Michigan precincts, voter turnout reached 100% and in 6 precincts it surpassed 100%",https://www.politifact.com/factchecks/2020/dec/04/russell-james-ramsland-jr/affidavit-michigan-lawsuit-seeking-overturn-electi/,0.0
Says Charles Schumer supports “putting everybody on the Medicare system. He wants the Green New Deal … reduce funding for the police.”,https://www.politifact.com/factchecks/2020/dec/04/rick-scott/scotts-claims-about-schumer-lack-evidence/,1.0
China recovered from COVID-19 “without a vaccine.”,https://www.politifact.com/factchecks/2020/dec/04/viral-image/china-has-vaccine-and-new-covid-19-cases-have-rece/,1.0
The USPS backdated 100K ballots so they could be counted illegally.,https://www.politifact.com/factchecks/2020/dec/04/facebook-posts/alleged-backdated-ballots-wouldnt-have-been-counte/,1.0
Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.,https://www.politifact.com/factchecks/2020/dec/04/facebook-posts/no-georgia-election-workers-didnt-kick-out-observe/,1.0
Residents the Wisconsin Election Commission suspected of moving are “illegal voters.”,https://www.politifact.com/factchecks/2020/dec/04/donald-trump/no-residents-wisconsin-officials-suspected-moving-/,1.0
Beware - George Soros is starting a Fake News site in Missouri”,https://www.politifact.com/factchecks/2020/dec/04/liberty-alliance/george-soros-not-mastermind-behind-startup-news-ou/,1.0
Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,https://www.politifact.com/factchecks/2020/dec/04/mandy-cohen/nc-covid-19-deaths-surpass-10-years-flu-deaths/,5.0
"In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.",https://www.politifact.com/factchecks/2020/dec/04/chris-larson/yes-gop-did-oppose-40-million-lead-pipe-replacemen/,4.0
"“Gina Haspel, CIA head is dead!”",https://www.politifact.com/factchecks/2020/dec/03/tweets/no-gina-haspel-isnt-dead-or-jail/,0.0
"“Masks will kill quite a few people, it’s well known that they reduce blood oxygen levels and those with respiratory and cardiac disorders will die.”",https://www.politifact.com/factchecks/2020/dec/03/facebook-posts/masks-do-not-kill-people-and-do-not-reduce-blood-o/,1.0
Says “Hugo Chavez’s family still owns” Dominion Voting Systems.,https://www.politifact.com/factchecks/2020/dec/03/facebook-posts/no-hugo-chavezs-family-does-not-own-dominion-votin/,1.0
Says “Former President Barack Obama arrested for ESPIONAGE.”,https://www.politifact.com/factchecks/2020/dec/03/blog-posting/no-obama-wasnt-arrested-espionage/,0.0
Says Joe Biden is wearing a foot boot to hide an ankle monitor.,https://www.politifact.com/factchecks/2020/dec/03/facebook-posts/no-biden-isnt-wearing-boot-hide-ankle-monitor/,0.0
"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",https://www.politifact.com/factchecks/2020/dec/03/ralph-northam/northam-right-about-about-racial-disparities-pot-a/,5.0
A Dominion representative in Gwinnett County improperly downloaded election data to “manipulate the data.”,https://www.politifact.com/factchecks/2020/dec/02/facebook-posts/pants-fire-claim-dominion-rep-georgia-manipulated-/,0.0
The coronavirus pandemic is “effectively over” in the United Kingdom and “there is absolutely no need for vaccines.”,https://www.politifact.com/factchecks/2020/dec/02/blog-posting/former-pfizer-employee-wrong-coronavirus-pandemic-/,0.0
“The states that are locked down are increasing at twice the rate we are” in Florida,https://www.politifact.com/factchecks/2020/dec/02/ron-desantis/florida-doing-better-covid-19-locked-down-states/,3.0
“Trump margin of ‘defeat’ in 4 states occurred in 4 data dumps between 1:34-6:31 AM. Statistical anomaly? Fraud?”,https://www.politifact.com/factchecks/2020/dec/02/rand-paul/fact-checking-rand-pauls-unsupported-claim-about-f/,0.0
"“Supreme Court Shakes Up 2020 Election, Assigns Conservatives To Swing State Circuit Courts.”",https://www.politifact.com/factchecks/2020/dec/02/gop-daily-brief/reassignment-supreme-court-justices-wont-affect-el/,2.0
Says Joe Biden plagiarized Donald Trump in his Democratic National Convention speech.,https://www.politifact.com/factchecks/2020/dec/01/facebook-posts/no-biden-didnt-plagiarize-donald-trump/,1.0
“Detroit actually has the lowest infection rate in the state of Michigan. We’re half of that of the surrounding suburbs.”,https://www.politifact.com/factchecks/2020/dec/01/mike-duggan/detroit-has-among-lowest-rates-infection-michigan-/,3.0
“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”,https://www.politifact.com/factchecks/2020/dec/01/tammy-baldwin/yes-americans-pay-more-remdesivir-no-trump-adminis/,3.0
"Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”",https://www.politifact.com/factchecks/2020/dec/01/kelly-loeffler/warnock-defended-jeremiah-wrights-damning-mistreat/,2.0
“CNN is now saying that Trump will win!”,https://www.politifact.com/factchecks/2020/nov/30/facebook-posts/no-cnn-isnt-saying-trump-will-win-presidential-ele/,1.0
Says her health care plan would ensure Americans with preexisting conditions are protected.,https://www.politifact.com/factchecks/2020/nov/30/kelly-loeffler/no-proof-kelly-loeffler-will-ensure-protections-pr/,1.0
Says the Denver Broncos signed Colin Kaepernick.,https://www.politifact.com/factchecks/2020/nov/30/viral-image/no-denver-broncos-didnt-sign-colin-kaepernick/,1.0
THOUSANDS of fake votes found at Wisconsin Recount in Dane County.,https://www.politifact.com/factchecks/2020/nov/30/facebook-posts/dane-county-fake-votes-claim-ridiculous-based-lack/,0.0
Says that shutdowns are “ineffective” and that we now know that COVID-19 is not commonly spread “by someone going to work.”,https://www.politifact.com/factchecks/2020/nov/27/greg-abbott/examining-effectiveness-texas-statewide-shutdowns/,1.0
Kyle Rittenhouse used his COVID-19 stimulus check to purchase the AR-15 he used in the fatal Kenosha shooting.,https://www.politifact.com/factchecks/2020/nov/25/instagram-posts/kyle-rittenhouse-use-covid-19-stimulus-kenosha/,3.0
"“We passed one of the first (COVID-19) bills in the entire country, empowering Gov. Evers to act.”",https://www.politifact.com/factchecks/2020/nov/25/robin-vos/wisconsin-assembly-speaker-says-state-passed-one-f/,1.0
Video shows movers carrying boxes out of the White House as President Trump discusses 2020 election results.,https://www.politifact.com/factchecks/2020/nov/24/instagram-posts/video-movers-loading-truck-white-house-trump-speak/,1.0
Dominion and Smartmatic “have closed up shop” and executives are “on the run.”,https://www.politifact.com/factchecks/2020/nov/24/facebook-posts/dominion-and-smartmatic-offices-havent-shuttered-a/,1.0
“Pennsylvania just banned alcohol sales.”,https://www.politifact.com/factchecks/2020/nov/24/viral-image/pennsylvania-has-banned-some-alcohol-sales-thanksg/,2.0
Photo shows “Biden’s inaugural stage being built on the White House North Lawn.”,https://www.politifact.com/factchecks/2020/nov/24/viral-image/no-photo-doesnt-show-bidens-inaugural-stage-being-/,1.0
"Says Donald Trump’s sister tweeted, “My brother Don won this election and will fight this to the very end.”",https://www.politifact.com/factchecks/2020/nov/24/viral-image/no-trumps-sister-didnt-tweet-her-support-president/,1.0
Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,https://www.politifact.com/factchecks/2020/nov/24/jody-hice/did-democrats-refuse-acknowledge-trumps-2016-victo/,1.0
North Carolina Gov. Roy Cooper’s “daughter is having a big wedding today. 500 people. Then going to lock you down on Monday.”,https://www.politifact.com/factchecks/2020/nov/23/facebook-posts/no-daughter-north-carolina-gov-roy-cooper-didnt-ju/,1.0
"“In certain swing states, there were more votes than people who voted, and in big numbers.”",https://www.politifact.com/factchecks/2020/nov/23/donald-trump/no-there-have-not-been-more-votes-people-who-voted/,0.0
Says Jon Ossoff is “a socialist.”,https://www.politifact.com/factchecks/2020/nov/23/david-perdue/ga-sen-david-perdues-claim-jon-ossoff-socialist-pa/,0.0
Says George Soros was arrested in Philadelphia for election interference.,https://www.politifact.com/factchecks/2020/nov/23/blog-posting/no-george-soros-wasnt-arrested-philadelphia-electi/,0.0
Photo shows Time magazine cover with Barack Obama that says “Treason.”,https://www.politifact.com/factchecks/2020/nov/23/facebook-posts/viral-video-features-array-doctored-photos-and-con/,1.0
"“In Philadelphia and Pittsburgh...682,000 ballots were counted in secret, away from poll watchers who were entitled by law to have access to that count.”",https://www.politifact.com/factchecks/2020/nov/23/tim-murtaugh/tim-murtaugh-wrongly-says-key-pennsylvania-mail-ba/,0.0
"“Clerks in Milwaukee and Dane Counties colluded to (add) nearly 250,000 individuals to the ‘Indefinitely Confined’ voter list.”",https://www.politifact.com/factchecks/2020/nov/21/joe-sanfelippo/voters-not-clerks-decided-who-was-indefinitely-con/,1.0
"“At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.",https://www.politifact.com/factchecks/2020/nov/20/sidney-powell/sidney-powell-claim-450000-votes-were-only-biden-k/,1.0
"In Michigan “we have over-votes in numerous precincts of 150%, 200%, and 300%.”",https://www.politifact.com/factchecks/2020/nov/20/rudy-giuliani/giuliani-cites-affidavit-crucial-errors-press-conf/,0.0
"“666,000 teachers have been laid off already since March.",https://www.politifact.com/factchecks/2020/nov/20/joe-biden/biden-mischaracterizes-teacher-layoffs-pandemic/,2.0
"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, he immediately cried that Cruz cheated.”",https://www.politifact.com/factchecks/2020/nov/20/tweets/yes-donald-trump-claimed-fraud-after-2016-iowa-cau/,5.0
"Says Donald Trump’s book “The Art of the Deal” advises: “Never admit defeat. You win. If you don’t win, claim they cheated.”",https://www.politifact.com/factchecks/2020/nov/20/viral-image/no-passage-about-defeat-isnt-donald-trumps-art-dea/,0.0
Says “Biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.”,https://www.politifact.com/factchecks/2020/nov/20/ron-paul/biden-not-advocating-nationwide-lockdown/,1.0
"A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!",https://www.politifact.com/factchecks/2020/nov/20/donald-trump/trump-again-flat-wrong-claims-about-wisconsin-vote/,0.0
Says there’s “up to 75% reduction in opioid dosage for medical cannabis users.”,https://www.politifact.com/factchecks/2020/nov/20/lyle-larson/studies-show-cannabis-can-lower-opioid-dosage-stud/,4.0
Says Kelly Loeffler is for getting rid of health care in the middle of a pandemic.,https://www.politifact.com/factchecks/2020/nov/20/raphael-warnock/claim-ga-sen-kelly-loeffler-backs-getting-rid-heal/,3.0
“David Perdue says he'll do everything in his power to make sure Joe Biden fails.”,https://www.politifact.com/factchecks/2020/nov/20/jon-ossoff/david-perdue-opposes-biden-didnt-say-hed-do-everyt/,2.0
“AARP endorsed Biden” and “says if you are past 75 you should just die and go away.”,https://www.politifact.com/factchecks/2020/nov/19/facebook-posts/no-aarp-didnt-endorse-biden-or-say-anyone-older-75/,0.0
"“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”",https://www.politifact.com/factchecks/2020/nov/19/sidney-powell/trump-lawyer-falsely-claims-voting-technology-comp/,0.0
The law governing the transition of presidential power “doesn’t require there to be an absolute winner. It says the ‘apparent' winner.”,https://www.politifact.com/factchecks/2020/nov/19/joe-biden/joe-biden-right-transition-starts-apparent-winner/,4.0
A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.,https://www.politifact.com/factchecks/2020/nov/19/donald-trump/trump-says-philly-democrats-stole-election-90s-tru/,0.0
"Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.",https://www.politifact.com/factchecks/2020/nov/18/donald-trump/trump-wrongly-claims-big-victory-after-close-down-/,1.0
"“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.",https://www.politifact.com/factchecks/2020/nov/18/donald-trump/fact-checking-donald-trumps-tweet-firing-christoph/,0.0
"If you can’t get a test through Test Iowa, there are multiple other sites: your doctor, your clinics, your pharmacies, the stroke detection clinic centers.",https://www.politifact.com/factchecks/2020/nov/18/kim-reynolds/fact-checking-how-accessible-covid-19-tests-are-io/,4.0
Vaccines “will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)” that will “cause people to HAVE to cooperate with the New World Order.”,https://www.politifact.com/factchecks/2020/nov/18/instagram-posts/no-covid-19-vaccines-wont-alter-your-dna-and-contr/,0.0
The 2020 election is in “recount territory” and “I’ve seen elections change as a result of” recounts.,https://www.politifact.com/factchecks/2020/nov/18/scott-fitzgerald/recounts-have-swung-elections-wisconsin-nowhere-ne/,3.0
“The MOB in PA was HIRED by the Biden team to create fake ballots by the thousands!!”,https://www.politifact.com/factchecks/2020/nov/18/facebook-posts/joe-biden-did-not-hire-mob-fabricate-ballots-phila/,0.0
“Michigan just refused to certify the election results!”,https://www.politifact.com/factchecks/2020/nov/18/donald-trump/no-michigan-has-not-refused-certify-election-resul/,1.0
There is “aborted male fetus” in the Oxford-AstraZeneca “Covid 19 vaccine.”,https://www.politifact.com/factchecks/2020/nov/18/facebook-posts/oxford-astrazeneca-vaccine-does-not-contain-aborte/,1.0
Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.,https://www.politifact.com/factchecks/2020/nov/18/donald-trump/donald-trumps-jab-georgia-recount-ignores-key-voti/,0.0
"Says “47 additional counties used the same software that caused a ‘glitch’ in Antrim County (that switched 6,000 votes from Trump to Biden in that county)” and votes in the state are “potentially fraudulent.”",https://www.politifact.com/factchecks/2020/nov/18/ted-nugent/inaccurate-early-vote-count-onmichigan-county-was-/,2.0
Voter FRAUD exposed in Georgia. Over 2600 votes 'FOUND.',https://www.politifact.com/factchecks/2020/nov/18/facebook-posts/georgia-election-officials-found-more-2600-uncount/,2.0
Unemployment report shows “America is bouncing back.”,https://www.politifact.com/factchecks/2020/nov/18/vicky-hartzler/hartzlers-right-theres-some-bounce-labor-report/,4.0
“Biden campaign director arrested for electoral fraud.”,https://www.politifact.com/factchecks/2020/nov/17/blog-posting/no-biden-campaign-official-wasnt-arrested-election/,1.0
“Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.”,https://www.politifact.com/factchecks/2020/nov/17/alexandria-ocasio-cortez/medicare-all-supporters-win-swing-districts/,4.0
The U.S. military seized servers in Germany tied to Dominion Election Systems.,https://www.politifact.com/factchecks/2020/nov/17/youtube-videos/no-us-military-did-not-raid-election-software-comp/,0.0
We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”,https://www.politifact.com/factchecks/2020/nov/17/tammy-baldwin/yes-department-homeland-security-declared-nov-3-el/,5.0
“These are real to date pictures taken during the Million (MAGA) March 2020.”,https://www.politifact.com/factchecks/2020/nov/17/facebook-posts/photos-show-cleveland-cavaliers-parade-and-womens-/,1.0
"“Milwaukee Elections Chief Lost Elections Flash Drive in Morning Hours of November 4th When Democrats Miraculously Found 120,000 Votes for Joe Biden.”",https://www.politifact.com/factchecks/2020/nov/17/facebook-posts/no-there-was-nothing-shady-about-lost-milwaukee-el/,0.0
A member of Joe Biden’s COVID-19 task force recommends “withholding food stamps and rent assistance from those who refuse coronavirus vaccines.”,https://www.politifact.com/factchecks/2020/nov/16/instagram-posts/no-bidens-covid-19-task-force-appointee-didnt-prop/,0.0
A screenshot shows Tucker Carlson announcing he’ll “be starting at NewsMax next month.”,https://www.politifact.com/factchecks/2020/nov/16/facebook-posts/parler-post-about-tucker-carlson-leaving-fox-news-/,0.0
"“More than one MILLION marchers for President @realDonaldTrump descend on” Washington, D.C., on Nov. 14.",https://www.politifact.com/factchecks/2020/nov/16/kayleigh-mcenany/million-maga-march-did-not-have-more-1-million-att/,1.0
Says Sen. Kelly Loeffler said on Parler that “Black people shouldn’t be allowed to vote.”,https://www.politifact.com/factchecks/2020/nov/16/facebook-posts/parler-post-attributed-loeffler-about-black-georgi/,0.0
Says Raphael Warnock ran over his wife and was arrested for obstructing an investigation into child abuse.,https://www.politifact.com/factchecks/2020/nov/16/erick-erickson/no-proof-warnock-ran-over-wife-obstruction-case-dr/,2.0
“Facebook removed the title of ‘President’ from Donald Trump and designated him as ‘Political Candidate.’”,https://www.politifact.com/factchecks/2020/nov/13/facebook-posts/no-facebook-didnt-remove-president-trumps-facebook/,1.0
“Ticketmaster is planning mandatory COVID vaccine identification for concert attendance.”,https://www.politifact.com/factchecks/2020/nov/13/instagram-posts/ticketmaster-isnt-forcing-you-get-covid-19-vaccine/,1.0
Says early voting opens the country up for this chicanery and this fraud that we’re seeing.”,https://www.politifact.com/factchecks/2020/nov/13/allen-west/no-early-voting-does-not-expose-elections-chicaner/,1.0
Says Raphael Warnock “celebrated Fidel Castro and welcomed him to his church.”,https://www.politifact.com/factchecks/2020/nov/13/kelly-loeffler/no-proof-georgia-senate-hopeful-warnock-welcomed-f/,2.0
Says Donald Trump posed as an anonymous “Nevada poll worker” on Laura Ingraham’s show.,https://www.politifact.com/factchecks/2020/nov/13/instagram-posts/no-trump-didnt-pose-poll-worker-laura-ingrahams-sh/,1.0
"Says there were “600,000 plus unlawful votes in Philly and Pitt.”",https://www.politifact.com/factchecks/2020/nov/13/rudy-giuliani/giulianis-false-claim-more-600000-unlawful-votes-p/,0.0
Says Dominion Voting System flipped votes to Joe Biden in states where Trump is bringing legal challenges.,https://www.politifact.com/factchecks/2020/nov/13/facebook-posts/no-evidence-dominion-voting-systems-caused-widespr/,0.0
Across the state the rejection rate for ballots went way down” in the Nov. 3 election.,https://www.politifact.com/factchecks/2020/nov/13/ben-wikler/democrats-jump-gun-claim-absentee-ballot-rejection/,2.0
“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”,https://www.politifact.com/factchecks/2020/nov/12/donald-trump/trumps-wrong-claim-election-observers-were-barred-/,0.0
Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”,https://www.politifact.com/factchecks/2020/nov/12/donald-trump/trumps-tweet-about-27-million-deleted-votes-basele/,0.0
The real electoral map shows Donald Trump leading Joe Biden in electoral votes.,https://www.politifact.com/factchecks/2020/nov/12/facebook-posts/trump-does-not-have-more-electoral-votes-biden/,1.0
Video shows California election workers cheating by collecting ballots from drop box on Nov. 4.,https://www.politifact.com/factchecks/2020/nov/11/donald-trump/president-trump-shares-misleading-video-falsely-ca/,1.0
The media called the 2016 election for Hillary Clinton.,https://www.politifact.com/factchecks/2020/nov/11/facebook-posts/no-media-didnt-call-2016-election-clinton/,1.0
"“Biden lead disappears in NV, AZ, GA, PA.”",https://www.politifact.com/factchecks/2020/nov/11/facebook-posts/no-joe-bidens-leads-havent-disappeared-key-battleg/,1.0
Detroit election worker trainings “reveal the mechanisms of the planned theft of the election”,https://www.politifact.com/factchecks/2020/nov/11/big-league-politics/no-planned-theft-election-detroit/,1.0
